,trip_id,year,month,week,day,hour,usertype,gender,starttime,stoptime,tripduration,temperature,events,from_station_id,from_station_name,latitude_start,longitude_start,dpcapacity_start,to_station_id,to_station_name,latitude_end,longitude_end,dpcapacity_end,startTimeSeconds,stopTimeSeconds,timeDelta
4504368,9575075,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:59:00,2016-05-17 09:08:00,8.966666666666667,48.9,cloudy,91,Clinton St & Washington Blvd,41.883379999999995,-87.64116999999996,31.0,47,State St & Kinzie St,41.889179999999996,-87.6277,23.0,32340.0,32880.0,540.0
4504369,9575074,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:59:00,2016-05-17 09:06:00,6.95,48.9,cloudy,175,Wells St & Polk St,41.872372999999996,-87.633523,19.0,49,Dearborn St & Monroe St,41.88132,-87.629521,27.0,32340.0,32760.0,420.0
4504370,9575068,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:59:00,2016-05-17 09:10:00,10.866666666666667,48.9,cloudy,30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,15.0,48,Larrabee St & Kingsbury St,41.897764,-87.642884,27.0,32340.0,33000.0,660.0
4504371,9575067,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:59:00,2016-05-17 09:04:00,5.183333333333334,48.9,cloudy,31,Franklin St & Chicago Ave,41.896802,-87.635638,23.0,211,St. Clair St & Erie St,41.894448,-87.622663,19.0,32340.0,32640.0,300.0
4504372,9575065,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:59:00,2016-05-17 09:17:00,17.933333333333334,48.9,cloudy,472,Lincoln Ave & Winona St,41.974911,-87.692503,15.0,306,Sheridan Rd & Buena Ave,41.958494,-87.654966,15.0,32340.0,33420.0,1080.0
4504373,9575064,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:59:00,2016-05-17 09:06:00,6.65,48.9,cloudy,91,Clinton St & Washington Blvd,41.883379999999995,-87.64116999999996,31.0,111,Sedgwick St & Huron St,41.894666,-87.638437,19.0,32340.0,32760.0,420.0
4504374,9575058,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:59:00,2016-05-17 09:06:00,7.033333333333332,48.9,cloudy,44,State St & Randolph St,41.88473,-87.627734,27.0,18,Wacker Dr & Washington St,41.883272,-87.637313,19.0,32340.0,32760.0,420.0
4504375,9575055,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:59:00,2016-05-17 09:05:00,5.816666666666666,48.9,cloudy,38,Clark St & Lake St,41.886021,-87.630876,27.0,283,LaSalle St & Jackson Blvd,41.878170000000004,-87.631985,31.0,32340.0,32700.0,360.0
4504376,9575052,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:58:00,2016-05-17 09:21:00,22.83333333333333,48.9,cloudy,279,Halsted St & 35th St (*),41.830661,-87.647172,15.0,287,Franklin St & Monroe St,41.880317,-87.63518499999998,27.0,32280.0,33660.0,1380.0
4504377,9575051,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:58:00,2016-05-17 09:14:00,15.75,48.9,cloudy,48,Larrabee St & Kingsbury St,41.897764,-87.642884,27.0,37,Dearborn St & Adams St,41.879356,-87.629791,19.0,32280.0,33240.0,960.0
4504378,9575050,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:58:00,2016-05-17 09:01:00,2.9,48.9,cloudy,154,Southport Ave & Belmont Ave,41.93949,-87.66378,15.0,229,Southport Ave & Roscoe St,41.943739,-87.66402,19.0,32280.0,32460.0,180.0
4504379,9575049,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:58:00,2016-05-17 09:02:00,3.35,48.9,cloudy,134,Peoria St & Jackson Blvd,41.877749,-87.649633,19.0,233,Sangamon St & Washington Blvd (*),41.883004,-87.65114799999998,15.0,32280.0,32520.0,240.0
4504380,9575048,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:58:00,2016-05-17 09:17:00,18.916666666666668,48.9,cloudy,92,Carpenter St & Huron St,41.894556,-87.653449,19.0,134,Peoria St & Jackson Blvd,41.877749,-87.649633,19.0,32280.0,33420.0,1140.0
4504381,9575046,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:58:00,2016-05-17 09:13:00,15.016666666666667,48.9,cloudy,300,Broadway & Barry Ave,41.937725,-87.644095,19.0,365,Halsted St & North Branch St,41.899368,-87.64848,15.0,32280.0,33180.0,900.0
4504382,9575044,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:58:00,2016-05-17 09:06:00,7.9833333333333325,48.9,cloudy,75,Canal St & Jackson Blvd,41.878412,-87.641052,31.0,81,Daley Center Plaza,41.884240999999996,-87.629634,39.0,32280.0,32760.0,480.0
4504383,9575043,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:58:00,2016-05-17 09:02:00,4.45,48.9,cloudy,219,Damen Ave & Cortland St,41.916027,-87.67741099999998,11.0,58,Marshfield Ave & Cortland St,41.916017,-87.668879,23.0,32280.0,32520.0,240.0
4504384,9575042,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:58:00,2016-05-17 09:05:00,7.183333333333334,48.9,cloudy,94,Clark St & Armitage Ave,41.918306,-87.636282,19.0,113,Bissell St & Armitage Ave,41.918440000000004,-87.65222,15.0,32280.0,32700.0,420.0
4504385,9575041,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:58:00,2016-05-17 09:03:00,4.783333333333333,48.9,cloudy,84,Union Ave & Grand Ave,41.89100000000001,-87.645925,19.0,73,Jefferson St & Monroe St,41.880421999999996,-87.642746,19.0,32280.0,32580.0,300.0
4504386,9575040,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:58:00,2016-05-17 09:10:00,12.15,48.9,cloudy,15,Racine Ave & 18th St,41.858166,-87.65649499999998,15.0,71,Morgan St & Lake St,41.885483,-87.652305,15.0,32280.0,33000.0,720.0
4504387,9575036,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:58:00,2016-05-17 09:15:00,17.916666666666668,48.9,cloudy,72,Wabash Ave & 16th St,41.860384,-87.625813,15.0,38,Clark St & Lake St,41.886021,-87.630876,27.0,32280.0,33300.0,1020.0
4504388,9575035,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:58:00,2016-05-17 09:15:00,17.433333333333334,48.9,cloudy,77,Clinton St & Madison St,41.882242,-87.64106600000002,31.0,3,Shedd Aquarium,41.867226,-87.61535500000002,31.0,32280.0,33300.0,1020.0
4504389,9575034,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:57:00,2016-05-17 09:05:00,7.7666666666666675,48.9,cloudy,225,Halsted St & Dickens Ave,41.919936,-87.64883,15.0,289,Wells St & Concord Ln,41.912133000000004,-87.634656,19.0,32220.0,32700.0,480.0
4504390,9575033,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:57:00,2016-05-17 09:06:00,8.766666666666667,48.9,cloudy,122,Ogden Ave & Congress Pkwy,41.875009999999996,-87.67328,15.0,186,Ogden Ave & Race Ave,41.891795,-87.658751,15.0,32220.0,32760.0,540.0
