,maleCount,femaleCount,goingDT,leavingDT
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,1,0,1,0
6,2,1,1,0
7,3,1,2,1
8,3,1,2,1
9,3,1,2,1
10,5,1,2,1
11,6,1,2,1
12,6,2,2,1
13,6,2,2,1
14,8,2,2,1
15,9,3,2,1
16,7,3,1,0
17,5,4,1,0
18,5,4,1,0
19,5,4,1,0
20,5,5,1,0
21,5,5,1,0
22,5,5,1,0
23,4,5,1,0
24,4,5,1,0
25,5,4,1,0
26,5,4,1,0
27,6,4,2,1
28,6,4,2,1
29,5,2,2,1
30,4,3,1,0
31,4,3,1,0
32,4,3,1,0
33,5,3,1,0
34,5,2,1,0
35,5,1,1,0
36,6,1,1,0
37,6,1,1,0
38,6,1,1,0
39,5,1,0,0
40,4,1,0,0
41,3,2,0,0
42,3,2,0,0
43,3,2,0,0
44,3,2,0,0
45,4,1,0,0
46,5,1,0,0
47,4,1,0,0
48,2,1,0,0
49,1,0,0,0
50,1,0,0,0
51,1,0,0,0
52,1,1,1,1
53,0,1,1,1
54,0,1,1,1
55,1,0,0,0
56,1,0,0,0
57,1,0,0,0
58,1,0,0,0
59,1,0,0,0
60,1,0,0,1
61,1,0,0,1
62,1,0,0,1
63,1,0,0,1
64,1,0,0,1
65,1,0,0,1
66,2,1,1,1
67,2,1,1,1
68,2,2,1,1
69,2,2,1,1
70,2,2,1,1
71,2,2,1,1
72,2,2,1,1
73,1,1,0,1
74,1,1,0,1
75,1,1,0,1
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,1,0,0,0
83,1,0,0,0
84,1,0,0,0
85,1,0,0,0
86,1,0,0,0
87,1,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,1,0,0
101,0,1,0,0
102,0,1,0,0
103,0,1,0,0
104,0,1,0,0
105,0,1,0,0
106,0,1,0,0
107,0,1,0,0
108,0,1,0,0
109,0,1,0,0
110,0,1,0,0
111,0,1,0,0
112,0,1,0,0
113,0,1,0,0
114,1,1,0,0
115,1,0,0,0
116,1,0,0,0
117,0,0,0,0
118,0,0,0,0
119,1,0,1,0
120,1,0,1,0
121,1,0,1,0
122,1,0,1,0
123,1,0,1,0
124,1,0,1,0
125,1,0,1,0
126,1,0,1,0
127,1,0,1,0
128,1,0,1,0
129,2,0,1,0
130,3,0,1,0
131,3,0,1,0
132,2,0,1,0
133,1,0,0,0
134,1,0,0,0
135,2,0,0,0
136,3,0,0,0
137,3,0,0,0
138,4,0,0,0
139,4,0,0,0
140,4,0,0,0
141,3,0,0,0
142,3,0,0,0
143,3,0,0,0
144,3,0,0,0
145,4,0,0,0
146,4,0,0,0
147,4,0,0,0
148,4,0,0,0
149,3,0,0,0
150,2,0,0,0
151,2,0,0,0
152,2,0,0,0
153,2,0,0,0
154,2,0,0,0
155,2,0,0,0
156,1,0,0,0
157,2,0,0,0
158,2,0,0,0
159,1,0,0,0
160,1,0,0,0
161,1,0,0,0
162,1,0,0,0
163,1,0,0,0
164,1,0,0,0
165,1,0,0,0
166,1,0,0,0
167,1,0,0,0
168,1,0,0,0
169,1,0,0,0
170,1,0,0,0
171,1,0,0,0
172,1,0,0,0
173,1,0,0,0
174,2,0,1,1
175,1,0,1,1
176,1,0,1,1
177,1,0,1,1
178,1,0,1,1
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,0,0
190,1,0,0,0
191,1,0,0,0
192,1,0,0,0
193,1,0,0,0
194,1,0,0,0
195,1,0,0,0
196,1,0,0,0
197,1,0,0,0
198,2,0,1,0
199,2,0,1,0
200,2,0,1,0
201,1,0,1,0
202,1,0,1,0
203,0,0,0,0
204,0,0,0,0
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,0,0,0,0
211,0,1,0,0
212,0,1,0,0
213,0,1,0,0
214,0,1,0,0
215,0,1,0,0
216,0,1,0,0
217,1,1,0,0
218,1,1,0,0
219,1,1,0,0
220,1,1,0,0
221,1,1,0,0
222,1,1,0,0
223,1,1,0,0
224,0,1,0,0
225,0,1,0,0
226,0,1,0,0
227,0,1,0,0
228,0,1,0,0
229,0,1,0,0
230,0,1,0,0
231,0,1,0,0
232,0,1,0,0
233,1,1,0,0
234,1,1,0,0
235,1,1,0,0
236,0,1,0,0
237,0,1,0,0
238,0,1,0,0
239,0,1,0,0
240,0,0,0,0
241,0,0,0,0
242,1,0,0,0
243,1,0,0,0
244,1,0,0,0
245,1,0,0,0
246,1,0,0,0
247,1,0,0,0
248,1,0,0,0
249,1,0,0,0
250,1,0,0,0
251,1,0,0,0
252,1,0,0,0
253,1,0,0,0
254,1,0,0,0
255,1,0,0,0
256,1,0,0,0
257,1,0,0,0
258,1,0,0,0
259,1,0,0,0
260,1,0,0,0
261,1,0,0,0
262,1,0,0,0
263,1,0,0,0
264,1,0,0,0
265,1,0,0,0
266,1,0,0,0
267,0,0,0,0
268,0,0,0,0
269,0,0,0,0
270,0,0,0,0
271,1,0,0,0
272,1,0,0,0
273,1,0,0,0
274,0,0,0,0
275,0,1,1,0
276,1,1,1,0
277,1,1,1,0
278,1,2,2,0
279,1,2,2,0
280,2,2,3,0
281,2,2,3,0
282,4,2,5,0
283,4,2,5,0
284,5,2,5,0
285,4,2,4,0
286,5,3,4,0
287,5,3,4,0
288,5,3,4,0
289,4,3,4,0
290,4,4,4,1
291,4,4,4,1
292,3,4,4,1
293,4,3,3,1
294,4,3,3,1
295,4,3,2,1
296,3,2,2,0
297,3,2,2,0
298,2,2,1,0
299,2,2,1,0
300,2,2,1,0
301,2,2,1,0
302,2,3,1,0
303,1,3,1,1
304,3,3,2,1
305,3,1,2,1
306,3,1,2,1
307,3,1,2,1
308,3,3,2,1
309,5,3,2,2
310,5,3,2,2
311,4,2,2,2
312,6,1,1,1
313,7,1,1,1
314,8,2,2,1
315,8,2,2,1
316,8,3,2,1
317,9,3,2,1
318,10,4,3,0
319,10,4,3,0
320,10,4,3,0
321,9,4,3,0
322,8,3,2,0
323,9,3,2,0
324,6,3,2,0
325,7,3,2,0
326,8,5,3,1
327,8,7,5,2
328,8,6,4,2
329,9,6,5,3
330,10,5,5,3
331,12,6,4,3
332,12,6,3,3
333,12,3,2,2
334,11,3,3,2
335,13,5,5,2
336,10,5,3,1
337,9,5,3,1
338,12,7,4,2
339,14,6,4,2
340,15,6,4,2
341,17,7,4,3
342,17,6,4,4
343,18,6,4,4
344,16,6,1,3
345,14,6,1,2
346,12,6,1,1
347,12,6,1,1
348,11,5,1,1
349,13,5,1,0
350,11,6,1,0
351,12,6,1,0
352,13,6,1,1
353,13,6,0,1
354,14,5,0,1
355,12,4,0,1
356,9,4,0,1
357,8,2,1,2
358,9,2,1,2
359,10,2,1,2
360,10,4,1,2
361,11,5,1,1
362,11,6,2,1
363,11,6,2,1
364,14,6,3,3
365,15,5,5,3
366,15,5,5,3
367,14,4,5,3
368,13,4,4,2
369,18,4,5,3
370,18,6,6,3
371,20,7,7,3
372,18,10,6,2
373,21,10,8,2
374,21,10,8,2
375,23,11,7,3
376,23,11,8,4
377,23,10,9,5
378,20,10,10,5
379,22,10,11,5
380,21,8,9,4
381,21,6,10,3
382,17,5,8,2
383,20,6,10,4
384,20,8,9,4
385,25,7,10,4
386,28,9,11,5
387,28,11,10,5
388,29,12,10,6
389,27,9,10,5
390,25,9,9,5
391,28,10,10,6
392,29,10,11,7
393,27,10,10,6
394,24,9,10,5
395,27,8,10,5
396,28,9,9,4
397,24,10,7,1
398,26,9,6,1
399,27,8,6,0
400,24,10,5,2
401,19,10,4,2
402,18,9,3,3
403,23,9,6,3
404,29,9,9,5
405,32,10,13,8
406,35,9,14,9
407,38,11,14,9
408,39,12,18,10
409,40,9,16,8
410,37,9,13,7
411,39,10,11,7
412,33,12,12,7
413,39,12,15,8
414,39,12,16,10
415,35,12,17,9
416,36,9,17,9
417,35,9,18,9
418,36,12,17,8
419,33,12,16,7
420,34,11,14,6
421,35,13,14,7
422,28,15,13,7
423,26,16,13,7
424,26,14,12,7
